name,price,storage_gb,primary_use_case,OS,Weight,Touch,Size,Resolution,PPI,Anti Glare Screen,Processor,Brand,RAM,Generation,RAM_Type,GPU_Model,GPU_Type
Lenovo IdeaPad 5i 83KX004RIN Laptop (13th Gen Core i5/ 16GB RAM/ 512 GB SSD/ Win 11),96999,512,General,Windows 11,1.6,Yes,14.0,1920x1200,162,No,13th Gen Intel Core i7 13620H,Lenovo,16,13th Gen,LPDDR5X,Unknown,Integrated
Honor MagicBook Pro 16 2025 Hunter Edition Gaming Laptop (Intel Core Ultra 9-285H/ 32GB/ 1TB SSD/ Win11/ 8GB Graphics),143999,1024,Gaming,Windows 11,1.81,No,16.0,3072x1920,202,No,Intel 285H,Honor,32,Unknown,LPDDR5X,RTX 5070,Dedicated
HP EliteBook 645 G11 Laptop (AMD Ryzen 5 Pro 7535U/ 16GB RAM/ 512GB SSD/ Win 11),50990,512,General,Windows 11,1.4,No,14.0,1920x1200,145,No,7th Gen AMD Ryzen 5 Pro 7535U,Hp,16,7th Gen,Unknown,Unknown,Integrated
Asus TUF Gaming A15 FA506NCR-HN054W Laptop (AMD Ryzen 7 7435HS/ 16GB / 512GB SSD/ Win11 Home / 4GB Graph),90011,512,Gaming,Windows 11,2.3,No,15.6,1920x1080,141,Yes,7th Gen AMD Ryzen 7 7435HS,Asus,16,7th Gen,DDR5,RTX 3050,Dedicated
Asus Vivobook Ultra K513EP-BQ702TS Laptop (11th Gen Core i7/ 8GB/ 1TB 256GB SSD/ Win10/ 2GB Graph),60611,1024,Gaming,Windows 10,2.24,No,15.6,1920x1080,141,Yes,11th Gen Intel Core i7 1165G7,Asus,8,11th Gen,DDR4,MX330,Dedicated
Lenovo IdeaPad Gaming 3 82S9014MIN Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),77000,512,Gaming,Windows 11,2.59,No,15.6,1920x1080,141,Yes,12th Gen Intel Core i7 12650H,Lenovo,16,12th Gen,DDR4,RTX 3050,Dedicated
Dell Inspiron 5570 Laptop (8th Gen Ci7/ 12GB/ 1TB/ Win10/ Touch),60999,1024,General,Windows 10,2.2,No,15.6,1920x1080,141,Yes,8th Gen Intel Core i7 8550U,Dell,12,8th Gen,DDR4,HD GRAPHICS 620,Integrated
Asus Vivobook 15X 2023 K3504VAB-NJ541WS Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),61850,512,General,Windows 11,1.6,No,15.6,1920x1080,141,Yes,13th Gen âIntel Core i5 1335U,Asus,16,13th Gen,DDR4,IRIS XE,Integrated
Lenovo Ideapad S540 (81ND00FAIN) Laptop (8th Gen Core i5/ 8GB/ 1TB SSD/ Win10/ 2GB Graph),67830,1024,General,Windows 10,1.5,No,14.0,1920x1080,157,Yes,8th Gen Intel Core i5 8265U,Lenovo,8,8th Gen,DDR4,MX250,Dedicated
Lenovo Ideapad Slim 3i Gen 8 82X700C7IN Laptop (13th Gen Core i3/ 8GB/ 512GB SSD/ Win 11),38991,512,Student,Windows 11,1.85,No,15.6,1920x1080,141,Yes,13th Gen Intel Core i3 1305U,Lenovo,8,13th Gen,LPDDR5,Unknown,Integrated
HP 245 G7 (1S3P0PA) Laptop (AMD Ryzen 3/ 4GB/ 1TB HDD/ FreeDos),26990,1024,Gaming,DOS,2.1,No,14.0,1366x768,112,Yes,AMD Ryzen 3  2200U,Hp,4,Unknown,DDR4,VEGA 3,Integrated
Dell 14 Plus DB04255 2in1 Laptop (AMD Ryzen  R5 340/ 16 GB/ 512GB SSD/Windows 11 Home),82490,512,Gaming,Windows 11,1.85,Yes,14.0,1920x1200,162,Yes,AMD Ryzen AI 5 340,Dell,16,Unknown,LPDDR5X,Unknown,Unknown
Acer Aspire Lite AMD AL15-41 Laptop (AMD Ryzen 7 7730U/ 16GB/ 512GB SSD/ Win11),64990,512,General,Windows 11,1.59,No,15.6,1920x1080,141,Yes,7th Gen AMD Ryzen 7 7730U,Acer,16,7th Gen,DDR4,Unknown,Unknown
Lenovo Thinkpad E16 21JN004GIG Laptop (13th Gen Core i5/ 8GB/ 512GB SSD/ DOS),79990,512,General,Others,1.77,No,16.0,1920x1080,141,Yes,13th Gen Intel Core i5 1335U,Lenovo,8,13th Gen,DDR4,IRIS XE,Integrated
Lenovo IdeaPad Slim 5 82SF008WIN Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win11),95990,512,General,Windows 11,1.85,No,15.6,1920x1080,141,Yes,12th Gen Intel Core i7 1255U,Lenovo,16,12th Gen,DDR4,IRIS XE,Integrated
MSI Cyborg 14 A13UDX-202IN Gaming Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11/ 6GB Graph),70990,512,Gaming,Windows 11,1.6,No,14.0,1920x1200,162,Yes,13th Gen Intel Core i7 13620H,Msi,16,13th Gen,DDR5,RTX 3050,Dedicated
Acer AL15-52H Aspire Lite 15 Laptop (12th Gen Core i7/ 16GB/ 1TB SSD/ Win11),74999,1024,General,Windows 11,1.7,No,15.6,1920x1080,141,Yes,12th Gen Intel Core i7 12650H,Acer,16,12th Gen,LPDDR5,Unknown,Integrated
Acer Nitro 14 AN14-41-R74Z Gaming Laptop (AMD Ryzen 7 8845HS/ 16GB/ 512GB SSD/ Win11/ 8GB Graphics),114000,512,Gaming,Windows 11,1.85,No,14.5,1920x1200,156,Yes,8th Gen AMD Ryzen 7 8845HS,Acer,16,8th Gen,LPDDR5X,RTX 4060,Dedicated
Lenovo LOQ 2024 15IRX9 83DV00X6IN Gaming Laptop (13th Gen Core i5/ 24GB/ 512GB SSD/ Win11/ 6GB RTX3050),98990,512,Gaming,Windows 11,2.38,No,15.6,1920x1080,141,Yes,13th Gen Intel Core i5 13450HX,Lenovo,24,13th Gen,DDR5,RTX 3050,Dedicated
Asus ROG Strix G16 G614JV-N3474WS Gaming Laptop (13th Gen Core i7/ 16GB/ 1TB SSD/ Win11/ 8GB Graph),149900,1024,Gaming,Windows 11,2.5,No,16.0,1920x1200,142,Yes,13th Gen Intel Core i7 13650HX,Asus,16,13th Gen,DDR5,RTX 4060,Dedicated
Lenovo Legion 5 2025 83LY00SUIN Gaming Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11/ 8GB RTX 5050),164990,512,Gaming,Windows 11,2.1,No,15.3,1920x1200,148,Yes,13th Gen Intel Core i7 13650HX,Lenovo,16,13th Gen,DDR5,RTX 5050,Dedicated
Lenovo Legion Pro 5 16AFR10 83F2004CIN Gaming Laptop (AMD Ryzen 9 9955HX / 32GB/ 1TB SSD/ Win11 Home/ 8GB Graph),245490,1024,Gaming,Windows 11,2.3,No,16.0,2560x1600,189,No,9th Gen AMD Ryzen 9 9955HX,Lenovo,32,9th Gen,DDR5,RTX 5060,Dedicated
Lenovo LOQ 15IAX9 83GS00CJIN Gaming Laptop (12th Gen Core i5/ 24GB/ 512GB SSD/ Win11/ 6GB RTX 4050 Graph),75990,512,Gaming,Windows 11,2.4,No,15.6,1920x1080,141,Yes,12th Gen Intel Core i5 12450HX,Lenovo,24,12th Gen,DDR5,RTX 4050,Dedicated
Acer 14 Travel Lite TL14-52M Laptop (13th Gen Core i3/ 16GB/ 512GB SSD/ Win11),59990,512,Business,Windows 11,1.35,No,14.0,1920x1080,157,Yes,13th Gen Intel Core i3 1305U,Acer,16,13th Gen,DDR4,Unknown,Unknown
Lenovo Yoga Slim 7x 14Q8X9 83ED003BIN Laptop (Snapdragon X Elite/ 32GB/ 1TB SSD/ Windows 11 Home),155000,1024,Business,Windows 11,1.28,Yes,14.5,2944x1840,202,No,Qualcomm Snapdragon X Elite X1E-78-100,Lenovo,32,Snapdragon X Elite,LPDDR5X,Unknown,Integrated
Lenovo V15 82KDA011IH Laptop (AMD Ryzen 5 5500U/ 8GB/ 512GB SSD),59990,512,Gaming,Others,1.74,No,15.6,1920x1080,147,Yes,5th Gen AMD Ryzen 5 5500U,Lenovo,8,5th Gen,DDR4,Unknown,Unknown
Lenovo ThinkBook 15 G5 21JFA00BIN Laptop (AMD Ryzen 7 7730U/ 8 GB/ 512 GB SSD/ Win11),99999,512,Gaming,Windows 11,1.7,No,15.6,1920x1080,141,Yes,7th Gen AMD Ryzen 7 7730U,Lenovo,8,7th Gen,DDR4,Unknown,Unknown
Lenovo V15 82KDA012iH Laptop (AMD Ryzen 5 5500U/ 8GB/ 512GB SSD/ Win11 Home),59990,512,Gaming,Windows 11,1.7,No,15.6,1920x1080,147,Yes,5th Gen AMD Ryzen 5 5500U,Lenovo,8,5th Gen,DDR4,Unknown,Unknown
Acer SF113-31-C07T Laptop (Intel Celeron N3450/ 4GB/ 128GB SSD/ Win10),36915,128,Business,Windows 10,1.3,No,15.6,1920x1080,141,No,Intel Celeron N3450,Acer,4,Celeron,DDR4,HD GRAPHICS 500,Integrated
MSI Modern 15 H C13M-217IN Laptop (13th Gen Core i7/ 16GB/ 1TB SSD/ Win11 Home),64990,1024,General,Windows 11,1.9,No,15.6,1920x1080,141,Yes,13th Gen Intel Core i7 13700H,Msi,16,13th Gen,DDR4,IRIS XE,Integrated
Lenovo Ideapad L340 81LK017SIN Gaming Laptop (9th Gen Core i7/ 8GB/ 1TB 256GB SSD/ Win10 Home/ 4GB Graph),75500,1024,Gaming,Windows 10,2.19,No,15.6,1920x1080,141,Yes,9th Gen Intel Core i7 9750H,Lenovo,8,9th Gen,DDR4,GTX 1650,Dedicated
Asus VivoBook Gaming F571LH-AL434T Gaming Laptop (10th Gen Core i7/ 16GB/ 1TB 256GB SSD/ Win10 Home/ 4GB Graph),62990,1024,Gaming,Windows 10,2.14,No,15.6,1920x1080,141,Yes,10th Gen Intel Core i7 10870H,Asus,16,10th Gen,DDR4,GTX 1650,Dedicated
Lenovo ThinkPad E14 Gen 6 â21M70062IG Laptop (Intel Core Ultra 5 125U/ 16GB/ 512GB SSD/ DOS),87990,512,General,DOS,1.43,No,14.0,1920x1200,162,Yes,Intel Core Ultra 5 Processor 125U,Lenovo,16,Core Ultra,DDR5,Unknown,Integrated
Asus Expertbook P1 P1503CVA-S71042WS Laptop (13th Gen Core i7/ 16GB/ 512GB/ Win11),77990,512,General,Windows 11,1.65,No,15.6,1920x1080,141,Yes,13th Gen Intel Core i7 13620H,Asus,16,13th Gen,DDR5,Unknown,Integrated
MSI Modern 15 B13M-1200IN Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),56490,512,General,Windows 11,1.7,No,15.6,1920x1080,141,Yes,13th Gen Intel Core i5 1334U,Msi,16,13th Gen,DDR4,IRIS XE,Integrated
Lenovo ThinkPad E14 21M3S0KV00 Laptop (AMD Ryzen 7 7735HS/ 16GB/ 512GB SSD/ Win11),97990,512,General,Windows 11,1.42,No,14.0,1920x1200,162,Yes,7th Gen AMD Ryzen 7 7735HS,Lenovo,16,7th Gen,Unknown,Unknown,Unknown
Lenovo ThinkBook 14 21SJA0KAIG Laptop (Intel Core Ultra 5 225U/ 16GB/ 1TB SSD/ Win11 Home),115990,1024,General,Windows 11,1.85,No,14.0,1920x1200,162,Yes,Intel Core Ultra 5 225U,Lenovo,16,Core Ultra,Unknown,Unknown,Unknown
Dell G5 5505 Gaming Laptop (Ryzen 7/ 16GB/ 512GB SSD/ Win10 Home/ 6GB Graph),79680,512,Gaming,Windows 10,2.5,No,15.6,1920x1080,141,Yes,4th Gen AMD Ryzen 7  4800H,Dell,16,4th Gen,DDR4,RX 5600M,Dedicated
Lenovo IdeaPad Slim 5 82SE005SIN Laptop (AMD Ryzen 5 5625U/ 16GB/ 512GB SSD/ Win11 Home),64999,512,Gaming,Windows 11,1.85,No,15.6,1920x1080,157,Yes,5th Gen AMD Ryzen 5 5625U,Lenovo,16,5th Gen,DDR4,Unknown,Unknown
Apple MacBook Pro MV972HN Laptop (8th Gen Core i5/ 8GB/ 512GB SSD/ Mac OS Mojave),179900,512,Business,macOS,1.37,No,13.3,2560x1600,202,No,8th Gen Intel Core i5,Apple,8,8th Gen,DDR3,IRIS PLUS 655,Integrated
Acer Nitro 5 AN515-43 (UN.Q6ZSI.001) Laptop (AMD Ryzen 7/ 8GB/ 512GB SSD/ Win10/ 4GB Graph),67990,512,Gaming,Windows 10,2.3,No,15.6,1920x1080,141,Yes,3rd Gen AMD Ryzen 7  3750H,Acer,8,3rd Gen,DDR4,GTX 1650,Dedicated
Samsung Galaxy Book 5 Pro 360 np960qha-kg1in Laptop (Intel Core Ultra 7 256V/ 16GB/ 512GB SSD/ Win11),178990,512,General,Windows 11,1.69,Yes,16.0,2880x1800,202,Yes,Intel Core Ultra 7 Series 2 256V,Samsung,16,Core Ultra Series 2,LPDDR5X,ARC 140V,Integrated
Asus VivoBook 14 X415EA-EK572WS Laptop (11th Gen Core i5/ 8GB/ 1TB 256GB SSD/ Win11),49990,1024,General,Windows 11,1.6,No,14.0,1920x1080,157,Yes,11th Gen Intel Core i5 1135G7,Asus,8,11th Gen,DDR4,IRIS XE,Integrated
Asus TUF Gaming A17 FA706IC-HX055W Laptop (Ryzen 7 4800H/ 8GB/ 1TB SSD/ Win11 Home/ 4GB Graph),75990,1024,Gaming,Windows 11,2.6,No,17.3,1920x1080,127,Yes,4th Gen AMD Ryzen 7  4800H,Asus,8,4th Gen,DDR4,RTX 3050,Dedicated
